"Path","Risk","Lines","ExceptAny","ExceptBroad","Print","Todo"
"backend/app/cache/redis_cache.py","3.9","99","5","5","0","0"
"backend/app/config/logging_config.py","3.1","166","2","1","1","0"
"backend/app/config/settings.py","3.3","147","3","1","0","0"
"backend/app/db/base.py","2","20","0","0","0","0"
"backend/app/db/session.py","2.5","130","3","1","0","0"
"backend/app/db/supabase_client.py","3.1","144","3","3","0","0"
"backend/app/main.py","6.1","281","9","7","0","0"
"backend/app/middleware/monitoring.py","2.4","51","1","1","0","0"
"backend/app/middleware/prometheus_metrics.py","2","112","0","0","0","0"
"backend/app/middleware/rate_limit.py","3","175","2","1","0","0"
"backend/app/middleware/security_headers.py","2.1","95","1","0","0","0"
"backend/app/models/__init__.py","2","18","0","0","0","0"
"backend/app/models/block.py","2.5","209","0","0","0","0"
"backend/app/models/document.py","2","26","0","0","0","0"
"backend/app/models/document_result.py","2","13","0","0","0","0"
"backend/app/models/document_version.py","2","14","0","0","0","0"
"backend/app/models/equation.py","2","52","0","0","0","0"
"backend/app/models/figure.py","2.5","168","0","0","0","0"
"backend/app/models/pipeline_document.py","5.5","207","8","8","0","0"
"backend/app/models/processing_status.py","2","15","0","0","0","0"
"backend/app/models/reference.py","2.5","238","0","0","0","0"
"backend/app/models/review.py","2","18","0","0","0","0"
"backend/app/models/table.py","4","248","4","4","0","0"
"backend/app/models/user.py","2","17","0","0","0","0"
"backend/app/pipeline/__init__.py","2","4","0","0","0","0"
"backend/app/pipeline/agents/__init__.py","2","7","0","0","0","0"
"backend/app/pipeline/agents/adaptive.py","4.4","230","5","5","0","0"
"backend/app/pipeline/agents/advanced_dashboard.py","3","394","0","0","0","0"
"backend/app/pipeline/agents/autoscaling.py","5.6","282","9","8","0","0"
"backend/app/pipeline/agents/custom_tools.py","3.3","215","2","2","0","0"
"backend/app/pipeline/agents/dashboard.py","2.5","262","0","0","0","0"
"backend/app/pipeline/agents/deep_learning.py","4","273","4","4","0","0"
"backend/app/pipeline/agents/distributed.py","4.4","255","5","5","0","0"
"backend/app/pipeline/agents/document_agent.py","6.3","481","10","9","0","0"
"backend/app/pipeline/agents/federated_learning.py","6.8","449","16","15","0","0"
"backend/app/pipeline/agents/llm_factory.py","3.9","201","6","3","0","0"
"backend/app/pipeline/agents/memory.py","2.6","263","1","0","0","0"
"backend/app/pipeline/agents/metrics.py","2.7","260","2","0","0","0"
"backend/app/pipeline/agents/ml_patterns.py","3.6","216","3","3","0","0"
"backend/app/pipeline/agents/multi_doc_learning.py","6.4","312","11","10","0","0"
"backend/app/pipeline/agents/nextgen_dashboard.py","3","395","0","0","0","0"
"backend/app/pipeline/agents/prompts/orchestration_prompt.txt","2","54","0","0","0","0"
"backend/app/pipeline/agents/realtime_adaptation.py","5.2","259","7","7","0","0"
"backend/app/pipeline/agents/streaming.py","2.4","147","1","1","0","0"
"backend/app/pipeline/agents/tool_marketplace.py","4.1","310","3","3","0","0"
"backend/app/pipeline/agents/tools/figure_tool.py","2.8","104","2","2","0","0"
"backend/app/pipeline/agents/tools/layout_tool.py","2.8","97","2","2","0","0"
"backend/app/pipeline/agents/tools/metadata_tool.py","2.8","111","3","2","0","0"
"backend/app/pipeline/agents/tools/reference_tool.py","2.8","104","2","2","0","0"
"backend/app/pipeline/agents/tools/validation_tool.py","2.8","100","2","2","0","0"
"backend/app/pipeline/base.py","2","24","0","0","0","0"
"backend/app/pipeline/classification/__init__.py","2","6","0","0","0","0"
"backend/app/pipeline/classification/classifier.py","4.3","659","2","2","0","0"
"backend/app/pipeline/contracts/apa/contract.yaml","2","101","0","0","0","0"
"backend/app/pipeline/contracts/ieee/contract.yaml","2","99","0","0","0","0"
"backend/app/pipeline/contracts/loader.py","2.4","74","1","1","0","0"
"backend/app/pipeline/contracts/none/contract.yaml","2","81","0","0","0","0"
"backend/app/pipeline/contracts/springer/contract.yaml","2","100","0","0","0","0"
"backend/app/pipeline/equations/standardizer.py","3.6","117","5","4","0","0"
"backend/app/pipeline/export/__init__.py","2","6","0","0","0","0"
